Start_time,Number_trials,Number_rewards,Initial_hit_thresh,Last_hit_thresh,Initial_hold_time,Last_hold_time
19-June-2024 14:23:37,15,12,100,106,0.0,70
25-June-2024 15:39:27,1,1,104,0,40.0,500
03-July-2024 12:21:23,0,0,500,0,0.0,0
03-July-2024 12:35:27,0,0,500,0,0.0,0
03-July-2024 12:51:58,0,0,500,0,0.0,0
04-July-2024 11:36:34,21,20,150,150,10.0,200
04-July-2024 11:52:07,19,19,150,150,670.0,680
04-July-2024 11:54:41,4,4,1000,150,500.0,530
04-July-2024 13:23:15,6,2,300,296,660.0,620
05-July-2024 09:24:11,3,1,300,298,100.0,80
05-July-2024 11:18:00,4,1,300,298,660.0,640
05-July-2024 11:35:51,6,5,300,150,660.0,710
09-July-2024 08:52:37,15,14,300,150,660.0,760
09-July-2024 12:40:55,22,19,150,150,670.0,860
09-July-2024 12:47:41,4,4,150,150,670.0,700
09-July-2024 13:01:13,1,1,150,150,670.0,670
09-July-2024 13:04:55,4,3,150,149,670.0,660
09-July-2024 13:07:18,3,2,150,149,670.0,660
09-July-2024 13:12:55,8,4,150,147,670.0,640
09-July-2024 13:16:37,5,5,150,150,670.0,710
09-July-2024 13:20:50,3,3,150,150,670.0,690
09-July-2024 13:30:02,9,9,150,150,670.0,750
09-July-2024 13:45:02,6,6,150,150,670.0,720
09-July-2024 13:47:56,4,4,150,150,670.0,700
09-July-2024 13:50:48,4,4,150,150,670.0,700
09-July-2024 14:09:07,2,2,150,150,670.0,680
09-July-2024 14:23:26,2,2,150,150,670.0,680
09-July-2024 14:51:19,5,3,150,150,670.0,700
09-July-2024 16:26:18,7,7,150,150,670.0,730
09-July-2024 16:31:37,18,16,150,150,670.0,830
09-July-2024 16:37:22,7,6,150,150,670.0,720
10-July-2024 10:46:26,3,0,150,148,670.0,650
10-July-2024 12:22:31,6,6,150,150,670.0,720
10-July-2024 12:54:37,13,11,150,150,670.0,710
10-July-2024 13:01:55,6,6,150,150,670.0,720
10-July-2024 13:12:02,4,3,150,149,670.0,660
10-July-2024 13:29:42,4,4,150,150,670.0,700
10-July-2024 13:29:59,11,10,150,150,710.0,760
10-July-2024 13:31:55,6,6,150,150,670.0,720
10-July-2024 13:32:20,19,13,150,150,730.0,840
10-July-2024 13:44:59,26,22,150,150,670.0,850
10-July-2024 14:03:40,10,6,150,150,670.0,710
10-July-2024 14:11:05,7,6,150,150,670.0,720
10-July-2024 14:11:39,10,7,150,150,730.0,740
10-July-2024 15:24:26,16,12,150,150,670.0,730
10-July-2024 15:26:35,17,13,150,150,740.0,740
10-July-2024 15:33:41,6,5,150,150,680.0,690
10-July-2024 15:37:23,7,4,150,150,750.0,770
11-July-2024 09:02:27,21,6,148,139,660.0,570
11-July-2024 09:11:57,2,2,150,150,670.0,680
11-July-2024 09:19:13,3,2,150,150,700.0,720
